year,mean_ASAP:FPAR,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:RAIN,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,koppen_class,yield
1984,45.009491006270814,0.29328899574071887,24.083882331848145,162427.00932882668,143.96840716067877,12.460075951493089,33.14578862998944,0.03843861068261485,0.7801056346369121,9887.425238304168,36.41156134194541,4.344383990252975,11,2145.4
1985,45.009491006270814,0.2810439942128907,24.412015084867125,164488.07088247463,146.10320017370395,12.460075951493089,31.06264267027627,0.03683290476017859,0.8439509943372732,9502.506442173399,34.84020102888087,4.728129278861981,11,2169.3
1986,45.009491006270814,0.27930361501720385,24.3026794857449,161587.7611333317,148.74347076237686,12.460075951493089,32.351283119603686,0.03951932496008798,0.7613863809576782,8675.588338042986,36.05894814604073,4.538430088470218,11,2178.3
1987,45.009491006270814,0.28098026141074345,24.634406390013517,167246.59407444563,146.6088701968229,12.460075951493089,33.4341342231148,0.035231974469607685,0.8214230694378684,9341.588997225641,35.243716617516206,4.697733729390483,11,2239.9
1988,45.009491006270814,0.28172523662677024,24.56219948662652,163298.1949687712,145.21483922036657,12.460075951493089,41.2679651499098,0.03487940708856531,0.75222708623025,9191.688230874059,37.05226501232874,5.1259040535119835,11,2280.5
1989,45.009491006270814,0.2755961050125187,24.258111264970566,165235.32810536033,149.53451720350228,12.460075951493089,33.72016064006556,0.034632283936676105,0.771326574082485,9732.918848272528,35.03608013640852,5.173525986479477,11,2556.2
1990,45.009491006270814,0.28393704624544563,24.199972196861548,154891.2471818642,146.7772633355652,12.460075951493089,31.282380869858766,0.03593346035942334,0.7147118489123199,9565.89635577278,36.133177922313244,4.131058733966634,11,2566.1
1991,45.009491006270814,0.2824710055061166,24.270411491394043,156627.84612362456,146.73901010649774,12.460075951493089,34.68419929274518,0.034851246037188394,0.8184511531017362,10409.820057346731,33.52841521509853,4.5303021623117425,11,2659.2
1992,45.009491006270814,0.26615265914990915,24.31402337109601,166746.72970891852,146.5960638595187,12.460075951493089,24.235162519411542,0.03188450669685908,0.7910715396583998,8600.235794266626,32.76202895734659,4.257033794347404,11,2689.3
1993,45.009491006270814,0.2766449544208458,24.129711716263383,154561.32844081966,144.64236697871723,12.460075951493089,34.257795577525044,0.03226856733719053,0.7594737576116634,9804.395193702127,32.44020047673594,4.268692147542427,11,2718.5
