year,mean_ASAP:FPAR,mean_ASAP:RAIN,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,koppen_class,yield
1984,54.699665719660786,36.50822073218424,0.2543462731000962,12.2202401359876,172363.3379278684,125.36626828238506,15.247141153830738,0.053108661442025654,1.3843794320050489,17711.02321789969,26.235542715516505,5.364161608482805,5,2096.8
1985,54.699665719660786,25.197358354517828,0.2554350404160723,12.71545805533727,175655.71034929767,128.22022903030845,15.247141153830738,0.05250285486113078,1.310130972630839,15937.044492874666,28.014558197069764,5.9915464086172685,5,2300.9
1986,54.699665719660786,35.53761904659824,0.24586438170776034,12.604815388167346,170465.72207561167,127.8503332598374,15.247141153830738,0.05084942886459265,1.439426828425957,16093.458492570297,27.44964734906602,6.3882337581600055,5,2856.5
1987,54.699665719660786,28.511065011148098,0.2502027003359007,13.110066268179152,176367.09888160683,127.64642504739567,15.247141153830738,0.049268550153396984,1.4200374022523528,14667.472078617217,26.09819097835636,5.79902857349627,5,2770.1
1988,54.699665719660786,23.815705593502415,0.25384620150521875,12.358136258743427,181850.55293378382,127.33625251782296,15.247141153830738,0.04428772186044654,1.4256507613665772,17409.407050232076,24.87258896478877,5.606863436564257,5,3007.5
1989,54.699665719660786,24.040413601466025,0.24706667250921394,12.831330129393825,179928.99169129896,133.9759698203111,15.247141153830738,0.04432242233658527,1.4339698441672453,17574.995161667437,29.798260616571852,7.194908861612627,5,3267.7
1990,54.699665719660786,26.573148625543165,0.25369634664176055,12.470883062592259,176677.96361281778,130.99093542606272,15.247141153830738,0.04330899094374564,1.3843293739391422,16554.67418417734,30.509258843742845,6.837810395657641,5,2948.1
1991,54.699665719660786,33.79374468910693,0.2561201076250922,12.47314347381945,170773.1228946042,130.384998775509,15.247141153830738,0.04348079148799672,1.4547651371202146,16229.955342829859,28.54216339685608,6.642681142337143,5,3405.7
1992,54.699665719660786,38.76196267253143,0.2568816875050015,12.355733736797616,170145.0987500139,126.99862678287175,15.247141153830738,0.04336020524006439,1.4575602836495538,16756.924370870543,25.579656268065285,6.505231716229638,5,3378.7
1993,54.699665719660786,35.60842868007331,0.2537947748464281,12.636534790198008,175530.7849066828,124.98520521605758,15.247141153830738,0.04250148973688853,1.459260329873629,17223.33226328617,24.69664322287565,6.289068520635575,5,3350.0
1994,54.699665719660786,30.86568202523504,0.24772515132817163,12.957577387491861,174260.26591729466,142.3020711610381,15.247141153830738,0.042191636347060864,1.4432980106418418,17282.21571161716,30.166306985764145,22.262270992263037,5,3515.7
1995,54.699665719660786,29.438471080135113,0.2477070753362733,12.522612789162883,180602.44861314338,130.71617218770967,15.247141153830738,0.0424624108490346,1.5080404570959358,16155.817567261864,28.571445759116344,6.503469138239502,5,3550.0
1996,54.699665719660786,22.20418028727052,0.2434470976503316,12.679404024724606,181533.40104801455,130.20609162857002,15.247141153830738,0.041798647955238494,1.4800073294277671,18466.890738512153,29.813053121766384,6.696404393433913,5,3327.8
1997,54.699665719660786,40.7749081235177,0.25160159537135696,13.208197041794106,169936.64836511348,129.14638811322442,15.247141153830738,0.04130707009078396,1.5147451049939273,16446.13743570891,27.71227452952162,6.227724470599323,5,4017.4
1998,54.699665719660786,18.901245325491615,0.2377501202301635,12.946397542953491,184217.6833764864,128.7096941586045,15.247141153830738,0.04471471580955419,1.4379095222124552,14464.694901392155,28.563803060414315,6.202772408529085,5,4384.6
1999,54.699665719660786,29.30428508416665,0.24597731158264255,12.926539134096217,177316.91944991593,126.48850043590339,15.247141153830738,0.04339196605282475,1.362998838353359,15797.896123988046,26.879003619961285,5.476975999613229,5,3534.2
2000,55.49061204143439,38.6711291611826,0.2532921797418548,12.427751867859453,173696.16774730614,123.47956182981696,16.263352340740045,0.044332124979374145,1.4887253400419913,18638.297262806285,25.044035657625315,5.142593218475216,5,3812.0
2001,54.64573539423894,37.721102752672834,0.26005361381028774,12.749678872249744,177073.2769551481,129.3644345869634,15.558164730257973,0.04389991420108695,1.453056857049842,15553.224988380798,27.15272748623807,6.382686401113968,5,4299.9
2002,56.85350568612153,40.60657836635861,0.2619688971716554,12.370859199100071,168526.52454555963,128.33206474079358,15.224530051875949,0.043143645996591665,1.420779034266903,17580.208657079325,26.05984662412127,5.975823957691864,5,4272.2
2003,54.62046467360784,29.567923303566726,0.2523370914882302,12.712360318060275,177369.22467379537,128.86813752327765,15.772200908935357,0.04360557721496347,1.4563303908858392,19187.152787314215,26.7278335109209,6.590173303331909,5,4323.0
2004,56.66359172922911,33.55305251167517,0.2571480489313335,12.909084651205275,172055.72769715686,127.83730637981073,15.385749361009598,0.04257885586198928,1.3599260745221515,16445.605209021276,26.356622092703834,6.0006398958617755,5,4571.0
2005,53.180327782315075,41.10301446746535,0.25400870204061743,12.72587161373209,173918.57146102426,128.64261995399033,15.735319569256422,0.04603365277606216,1.487915888799858,15784.282231431433,27.260107911741724,6.23767224990879,5,4413.0
2006,56.43848544873227,37.90746228130959,0.2559188196778709,12.862842910819584,173402.62609943838,129.57803979883283,15.459683626182864,0.04331636771872316,1.5132812527039605,17149.991181146735,26.796891523045353,6.36876252981411,5,4460.1
2007,53.363618505939655,24.252386165521756,0.24063258300920434,11.834267941889939,176627.57151310632,119.95809121935918,15.504307743379195,0.04110499546260096,1.446643156144252,17102.42601104004,39.194048044489136,13.002220792242595,5,4785.9
2008,52.65848231310203,27.40932649605771,0.2429542579664594,13.325786619274705,180692.81855860955,133.78061735993893,15.247141153830738,0.04068302617249025,1.3812475899302041,14796.271651182396,28.11132870470863,7.815597018500936,5,4574.8
2009,52.733787981419,30.627702910877183,0.24296272344420802,12.667040384478039,173121.17245991883,132.2994565624863,15.298184640523605,0.04240393044025385,1.5042123209963418,17324.620578623337,27.49682248341974,8.415615424649763,5,4080.9
2010,54.699665719660786,22.920657049752062,0.24447916830310845,12.189289817103633,175574.50973869493,130.93537570053385,15.374571148036823,0.04209286713549486,1.4334651783641168,18804.84984254705,27.43126490740302,8.318865766436248,5,5765.8
2011,55.70712817276515,25.106919062900463,0.24978015102681983,12.478307101461622,177978.61678690868,131.52367671114146,15.194805313640396,0.04203720105735457,1.361993651410225,16236.640242230216,26.838687248053933,8.024146456490747,5,5806.0
2012,54.793681519018264,28.63702690228375,0.2487129011202115,12.790160889978763,171956.28417435047,131.7000162363396,15.480819919185207,0.039969990897531844,1.4502957909005074,16719.88053214833,36.32252422524295,11.91716862285285,5,4946.8
2013,55.32729710701469,21.114532499365723,0.24453346654366698,12.894077080267447,179507.18075180205,132.85323321605708,15.858672372063554,0.0423714130093738,1.364872516696126,15544.48186176904,33.6648552394591,9.99317427551473,5,5814.3
2014,55.263951849658106,27.236464555738607,0.2542644231287079,12.74618465149844,175034.59502543297,131.96071694235783,15.178614067657945,0.04183236956923709,1.4293489099989873,16952.61131481099,30.294419684040573,8.818936922589787,5,5329.0
2015,53.151500797065474,29.83191047884678,0.249126189548623,13.213451122796094,176313.0256064352,132.64189348295488,15.116118367525631,0.041277586828646066,1.4306588537985367,15854.256456322071,32.93259040196583,9.575886945099983,5,5632.6
2016,56.156153571966065,21.382677030396923,0.24744706837131755,13.52663450770908,177405.64097060382,132.75482441530744,15.098087723956187,0.03935361767648172,1.4454471432508869,14436.612761278799,33.792651693702744,9.817619965116807,5,6070.6
2017,54.8762760737592,27.315730914788332,0.25906441326518603,12.842006648028338,172931.1367916713,130.34584195990578,15.168261141037123,0.041048736836219984,1.5150527662189424,16290.86231518015,37.365570005914385,12.146783759116984,5,5996.6
2018,55.35118157524481,24.16615345243808,0.25660315344710916,12.611165029031259,173903.66859811067,131.10238634246167,15.239675515966095,0.041927976547402074,1.5075902345873553,16287.225655243567,35.53624777180858,10.971798269871568,5,6213.7
2019,52.44009485355736,21.153201629518655,0.24036323716657237,12.989092149116376,177831.1871255262,132.1135684838171,15.174097321160362,0.04313309953575556,1.568225578571772,16106.689269153374,36.41581330892491,11.359295048355719,5,6286.0
2020,51.575184031046106,22.59147084322383,0.23536091884397428,13.023021554505384,183296.1236179793,132.43699959268918,15.03673613708848,0.04155088286347871,1.5795570192513106,17649.635137123714,34.88237640301653,11.018588235863774,5,6003.8
2021,53.65102288759594,18.04188631143101,0.24000648582241518,12.962202186937686,180391.20331755193,133.705848991321,15.30201606129183,0.040595678739020355,1.3870911604183613,15268.829617333387,35.29312168140201,11.053453352698638,5,5982.1
2022,52.12800052569391,23.371177998225498,0.248521750361194,12.593395213286081,177697.33601644108,130.67483206586235,14.793306457157566,0.04198103041629632,1.4735233411799584,17582.730428103052,34.84070986347379,11.557449417728511,5,5891.7
1992,29.161025101493188,10.112336264889306,0.1944778095915988,7.8048213792757855,157675.320277946,157.13103580441586,9.976324627573199,0.041324720261962745,3.663445100272082,12516.194150671068,24.513052631904703,25.203772639428976,29,2733.5
1993,29.161025101493188,12.968780293483634,0.19576805767451316,7.238083986927652,158535.0772710748,167.70038477807637,9.976324627573199,0.04254668027883219,3.594215517198943,12805.789846089026,26.098572015387788,23.250477404975484,29,2455.5
1994,29.161025101493188,10.221735358474929,0.18649122104364504,7.6094023332827625,164396.74689716578,170.6570503505424,9.976324627573199,0.04094311348694765,3.684826487038799,11833.256253560487,26.85142801436203,15.745260713316709,29,1826.5
1995,29.161025101493188,7.206642248531027,0.18479609682028422,8.054382604029444,164981.8361539389,154.98158407072458,9.976324627573199,0.040637129755883114,3.9382175958662264,12091.729959414606,27.415481420377372,24.459606561839127,29,1717.5
1996,29.161025101493188,9.247881702941257,0.18627570394235976,7.419538367022243,161907.4028923468,150.04307387179648,9.976324627573199,0.04048231989362663,3.7754479830182484,12153.025749686614,31.11886237852669,26.497692634509633,29,2135.3
1997,29.161025101493188,8.655918142131547,0.18541806015763143,8.954328519990668,164197.15697272777,156.01280224731298,9.976324627573199,0.041019192660086655,3.84313901863157,11995.829524926827,26.548663182632072,27.074154923961157,29,2317.4
1998,29.161025101493188,12.181105500558395,0.19322381658869145,8.546967227943242,157828.1742572999,156.48138423712194,9.976324627573199,0.041062443835150196,3.695956300479877,11571.4918623625,26.206449623053825,25.980219937404147,29,2357.8
1999,29.161025101493188,10.908275229751714,0.19476807824277217,8.365829574568629,158862.9809077735,149.3504018481795,9.976324627573199,0.04232478012384708,3.813415961501443,12179.06524693965,30.25974296927294,29.3810235146594,29,2297.7
2000,32.48803416063844,10.187464610063863,0.18888660970374907,8.342142221763627,162638.04756247258,155.48750011325063,11.59531279620294,0.040886723205638444,3.9441877572184634,12031.61075718618,27.10371860625922,27.10378225455283,29,2342.0
2001,28.26967198667763,9.439211642297398,0.1897182586594033,8.513346909700582,163038.21767068573,154.11384029198697,10.438917053488247,0.04154435626210379,3.884210747240456,12381.045123972384,30.991346322856707,26.475218479603445,29,2488.3
2002,32.4831675536083,12.965485903356242,0.1963576635025247,8.785349203791055,161192.87614431733,152.74499526215547,10.764900989607149,0.041431214638421664,3.7365002113967827,11852.936997148565,31.78898830954858,25.412716614700447,29,2301.7
2003,29.161025101493188,14.192891529855988,0.19999640546299927,7.9960333156502905,159837.91516137798,151.6467393558541,9.500936216726817,0.03954554378963517,3.738493090321714,12443.331739287014,30.41637556837002,28.812292530637713,29,2364.9
2004,29.009088063774406,11.026030483749564,0.1889175444809697,8.993369867637133,160392.36577926294,153.1670885343599,9.976324627573199,0.0405793354359938,3.900014742406784,12067.365994958149,32.86592287568996,26.168155988722887,29,2434.4
2005,29.115540609371333,10.681545652711376,0.1882887119135601,8.604047152524194,163878.12405136568,157.152021086882,9.570665026078697,0.038117253047629675,4.022462956657773,11357.950576024807,27.974487631251336,24.681242711895422,29,2241.0
2006,28.48489105354795,10.651125649591528,0.18744399313261978,9.037153378827497,165012.32083486812,155.7971593803551,9.920794119559137,0.03757796003340478,3.9101409192247343,11542.320326533647,32.212118257268706,25.426882594571975,29,2068.4
2007,28.43225437240024,9.639334657793988,0.18298687770549923,9.045109196462565,163355.0642204569,143.17213349399438,9.79022892596016,0.03907007967889872,3.8520760690245015,10894.685381133837,30.751509026755993,20.096751048935175,29,1998.5
2008,24.616138440592636,9.20439961331466,0.17608924593452746,8.772095210229358,164830.45565258322,134.7234654142505,9.156717639329058,0.038698605155321385,3.9826124478821807,11769.140132344763,26.929822348060988,13.107712866563013,29,1940.2
2009,31.199341809749928,12.230752773488009,0.18999010149675846,8.453429409820172,161322.74798988376,130.19969376438314,10.583422052256843,0.039819096506570666,3.9518993762303967,11832.800167679148,30.793237938352053,13.127957458041935,29,2628.5
2010,31.154460326362546,12.696671300606443,0.19847749173826515,8.922406467402148,156932.73137696928,131.79749381488006,10.02454524592238,0.043852598335935494,3.9142836149746625,13059.949611789594,29.221025790918823,12.43503105805205,29,2167.4
2011,28.435643255876403,12.540939731551667,0.18958772980230765,8.399585600321492,162121.56669020822,129.61033801299448,9.866689581648652,0.040221990969899125,3.8384096357166815,11369.20489117914,29.502496697791532,13.454830466479748,29,2144.5
2012,25.740396014367448,9.59476460635357,0.18218307462081032,7.868328220935331,167775.449199635,124.2349570976078,8.552033621137769,0.04312845738103758,3.9516781895788973,10592.340680527457,25.179721958717153,13.449762286767031,29,1675.1
2013,29.676180499317,9.484213730402946,0.18793150793842994,8.966951232170686,165360.65632429812,129.679562917932,9.676062777082466,0.043098589541399605,3.897911833369222,11880.714735736736,26.56480330449638,12.515446865590782,29,2365.4
2014,24.882295495130233,9.889146939022986,0.18341360985593022,7.8122032943129955,167514.87422676472,126.33023598330286,8.888964324163531,0.04263637116096053,3.811752163060175,11345.151769222688,27.14492631465974,13.677531607530454,29,1689.3
2015,30.210009588822988,11.42204829713443,0.1931122333358443,8.98160830574731,161248.66795573247,130.3745010371292,10.702355551508232,0.04365920829475734,3.909712926031457,11939.475470431824,30.059001470130177,13.315656100042705,29,2370.1
2016,34.217965195574635,13.659528754898332,0.2059914103819556,9.253727719291216,158748.64198616415,131.56514791912034,10.730095536112827,0.045976110018336874,3.912769169425596,12085.62258825995,31.707345814795147,12.36351330868572,29,2446.1
2017,30.133068501090666,10.774941234623569,0.19240245120620414,8.476356053880105,166012.07037944638,129.42078227598068,9.834409459385066,0.047101117497178845,3.8507827933509486,11094.728687705432,28.586929242307818,13.754246735240802,29,2405.3
2018,29.959091517590707,10.711232780633356,0.19336393976583774,8.279630944132805,161153.85095441545,131.97278903214954,10.302337449798847,0.04772927173224454,3.9155893717955177,12264.412386153397,30.292247752904636,13.284268584742513,29,2426.8
2019,30.77927707004516,9.65524032678655,0.18993682942192533,9.042816549229125,163667.52783090656,132.0514016268273,10.419880549468987,0.04347906809078069,3.992431873537341,11693.338436367621,30.020229138993802,13.545228206282069,29,2509.3
2020,29.92723056969664,8.573145071225802,0.1939392747579918,8.294045014927784,162868.90644860652,131.10304889978394,9.998020024794924,0.04318151936561191,3.784821265151995,10894.252303025183,28.460541009441563,13.81698299501412,29,2546.5
2021,27.48825602498221,8.103514133104907,0.18836711221031127,8.838465376278489,166151.11535597884,134.42566548636015,9.600044660105988,0.04428289651899878,4.0005163710836085,11828.962607299221,27.442500588554466,13.58408497027779,29,1453.1
2022,30.896997313103537,10.910579248340234,0.2019445402471369,9.47542535699904,161460.32826386936,137.56222760253684,10.006892510165693,0.044848704063478344,3.8637372181091387,12275.23672623399,31.95010006802965,15.787503142843244,29,2542.3
1992,27.655083839230755,10.612121523861964,0.19835785128428884,12.581716930700672,164416.09046393036,143.39529993996226,10.940572296775613,0.037187053830783565,3.0803105346252666,8320.386495289873,30.765148656030938,19.129235766426675,29,907.3
1993,27.655083839230755,12.224149409022262,0.19863932823639793,12.25934320470939,167530.20364647426,144.34978912864554,10.940572296775613,0.038385406179702104,3.2882956107002186,8371.448800690874,30.356046175217354,23.042381352232585,29,851.3
1994,27.655083839230755,10.322920719498676,0.19427373851136676,12.836877584017607,171734.9893635148,146.8611707957696,10.940572296775613,0.03741673087925339,3.2676042231659936,7548.707726650566,27.704221095765966,24.4947088625618,29,840.9
1995,27.655083839230755,6.688156372045182,0.18455527629964333,12.749846533070215,175985.84739699838,148.55526711118534,10.940572296775613,0.037320552047432794,3.3369527390196563,8294.004623078152,29.931652609074213,15.311087801632462,29,888.2
1996,27.655083839230755,7.939036938103303,0.1851878238727353,11.924947994618883,171463.43156826455,144.91388417728635,10.940572296775613,0.037821270585684595,3.1454927545555855,8366.36198443811,30.578164334775295,14.65904007120547,29,856.6
1997,27.655083839230755,7.525403357479579,0.18502408195068323,13.08135869126353,171393.04026990276,146.42278004268056,10.940572296775613,0.03640172534117199,3.1552051926811284,7308.554297272462,27.304802842538997,15.8197237578843,29,1268.7
1998,27.655083839230755,12.630254116134488,0.19320598169728337,13.289881937580908,165511.18534993794,143.76181107763557,10.940572296775613,0.03798180926662636,3.094162566627964,8032.163534055832,29.107998997369933,15.4394010296208,29,1144.8
1999,27.655083839230755,14.395627920011918,0.19851003305694104,13.341750015194217,166498.3019108401,141.37593025602953,10.940572296775613,0.038819650865882877,3.2563893439863563,8122.387399867001,29.457707588940153,15.218004232628386,29,1148.6
2000,24.894801963173848,9.157924139722446,0.18675478866071651,13.236720212631756,179207.1754951536,142.6148437528415,10.375296609311679,0.03696418634626354,3.3820224275963153,7990.3233963291505,26.919343840055216,18.569606404473646,29,1183.9
2001,24.232162534473712,9.233278361563741,0.18064909963389428,13.905331058738133,177712.10098844787,150.5458186378094,10.410927144557592,0.03768437714080779,3.3145044842690248,8099.119165745878,26.818373365343653,14.798830315024425,29,1309.8
2002,28.106108113964286,14.407189063770922,0.18705120789565394,13.607830805548778,172077.3439033373,146.99952766451705,11.535323054020912,0.038707468752636726,3.196988436584493,7880.523464978546,32.01865596560222,14.767854674956274,29,1789.8
