year,mean_ASAP:RAIN,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:ASIS_NDVI,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,koppen_class,yield
1984,54.66589324914999,0.28240745493137226,23.225820276472305,173414.08476465158,165.03448886538624,141.81828861947497,12.969788902676614,0.04965171465209723,1.893700919766857,12129.470860003468,29.906014706512103,4.786742307283182,11,1187.2
1985,48.62400348559137,0.2803670733731058,23.247558519575332,170343.89175365647,170.16916557623404,144.47060203329062,12.969788902676614,0.04964386584768792,1.9421365072924741,13242.07417925131,29.412169976401007,5.24108062574072,11,1239.8
1986,49.286758265284064,0.2799417995922722,23.226512930128308,172019.82519959874,176.89540697848318,145.89665019996514,12.969788902676614,0.049600506584770394,1.8982227545872883,13834.48293734011,29.165500605637813,4.843407250811058,11,1406.7
1987,48.61128534559756,0.2740918088739157,23.754766596688164,176369.23944250928,173.0256549764916,145.8892496651664,12.969788902676614,0.05014474891895147,1.9891960012454752,12908.2445933929,28.926233833252486,5.235370649660212,11,1442.6
1988,46.85152372795796,0.2808069375956048,23.611726421780055,172474.72756651856,165.92924582089057,143.8835978030612,12.969788902676614,0.046877933904793584,1.9352421104625155,13207.913635324876,29.388859649835336,5.154420350916048,11,1344.0
1989,49.82405491882534,0.2855109459514972,23.412852573394776,174511.06215086448,184.44979659934566,150.60476714833283,12.969788902676614,0.044277738776047015,1.9745448394142722,13338.334779956886,30.26767487579253,5.456629891240952,11,1443.8
1990,52.89500174931508,0.28712252872746075,23.59681945906745,171351.27692232293,177.25044225886063,146.5741846591228,12.969788902676614,0.04449621588592313,1.9624747948928634,13747.647210623223,30.53921625752531,5.321344756682637,11,1815.3
1991,44.16154076320442,0.2836605538162818,23.913482348124187,173433.4815126177,159.0629124017541,147.25323811412156,12.969788902676614,0.0471389541047027,1.9614191596090005,12516.232310186031,28.79083594768597,5.317708023301599,11,2006.5
1992,47.96308844235759,0.27838727346467995,23.30748609436883,174797.68808743762,158.89681265981022,146.47166391705366,12.969788902676614,0.04422008585035912,2.0186971580074355,12294.23889214592,26.85706384294302,5.230131837993587,11,1826.6
1993,42.54776546910728,0.27069973065406266,23.31674639383952,176516.62230755042,165.00990889276633,145.2569038049352,12.969788902676614,0.04301918520449543,1.9283755942310317,11149.070085135416,26.972112266472116,4.987950849340954,11,1753.6
1994,56.316622849695655,0.2802116927188165,23.557402197519938,169408.78355620222,148.51929458983187,141.1810741476778,12.969788902676614,0.04676310601798058,1.893975749179555,13380.30579430782,25.969299816243133,4.970425618393526,11,1988.2
1995,49.681559715062384,0.27406918944462155,23.512681685553655,173870.39877290282,176.7881068047218,145.9172369692536,12.969788902676614,0.043275677341866645,1.939578509679116,12988.519283940845,29.714885883266845,5.003667539684924,11,1730.4
1996,54.09506371003925,0.27372829202478677,23.250209866629707,171779.54600445915,177.31406622049056,144.31323877806136,12.969788902676614,0.04249133284033422,1.8953569278012423,13677.860568304324,30.36049794193429,5.0015031606886975,11,2089.2
1997,48.62775401376321,0.2757553121097224,23.615436871846516,173464.1327141802,177.00262222131263,144.03935828393747,12.969788902676614,0.04220759431694628,1.8899709391349002,13003.32763334604,29.26151324716728,5.140899247298519,11,2060.5
1998,44.311814293367995,0.27060823399774525,24.437788671917385,179559.87734902222,174.84423361008658,145.2800497254883,12.969788902676614,0.04684100235877542,1.9191533848121964,12594.87272362517,27.941400356357818,4.992835778358376,11,2368.5
1999,52.9483467500152,0.2850412401818068,23.348693312538995,167085.8071322978,168.69134373294426,141.6767538458509,12.969788902676614,0.04344238067865664,1.8232076946556968,12831.750927516921,28.427132601754057,4.971373956188297,11,2359.7
2000,52.81883651284157,0.28801270218400915,23.416364924112955,169798.68417105655,153.0603191550533,141.12750912247728,13.469936986294478,0.04241329920687093,1.8847858856192494,13059.441978760757,28.65275571937383,4.411199707493708,11,2387.8
2001,50.38081546585126,0.2859327544980005,23.779711453119912,170146.4330184666,172.13028254768713,144.0455118725448,13.818633264156754,0.04547681139287363,1.9593333394325243,12939.765770818904,28.465630712344577,4.971938089826615,11,2550.0
2002,53.89262951908511,0.2836983739611673,23.877447197172376,170503.5427001895,163.12580566399294,144.172057509769,13.66466186187529,0.04602335395371123,1.9085244150923883,14498.006142359012,28.537441451648622,5.109391893132579,11,2761.0
2003,47.49961837069297,0.27679042699753315,23.95053834385342,176570.64054027016,170.35052401634317,146.40295799565743,13.504927587300855,0.04526827313275657,1.903895983246548,12317.155028433855,28.9403702217682,4.889341537423691,11,2771.0
2004,51.45316328528043,0.2773524983059455,23.594159857432047,177520.13711289785,159.94409838955494,146.94357928595963,13.456116343077323,0.04492408003079774,1.9937355279533364,13843.068281469708,28.993430347112234,5.240666113997086,11,3014.8
2005,55.23020724687952,0.28207600430256546,23.854103962580364,173339.141882705,160.08209648197652,145.64685612442037,13.351363520341327,0.04328070227638982,1.921913834467699,12281.259043103066,27.416082325528144,5.281797078286819,11,4332.1
2006,51.75759983390236,0.27782043017599833,24.047162421544392,175083.20643939546,166.75079323263242,145.63119961590107,13.301372398310969,0.04322510746994996,1.9294277452371826,12228.671292642806,28.099552910352724,4.905659726627386,11,3953.3
