koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
5,1984,"[2096.8, 2306.8]","[2886.846435546875, 2357.29833984375]",0.2542407190570888,25.424071905708878,0.19087673162653843,-0.19087673162653843
5,1985,"[2300.9, 1617.7]","[2246.0234375, 1881.6239013671875]",0.09728669829393044,9.728669829393045,0.08135570455448056,-0.05334745543489699
5,1986,"[2856.5, 1781.9]","[2238.164794921875, 1840.8912353515625]",0.18938181000372414,18.938181000372413,0.14602587970629688,0.12058985204522306
5,1987,"[2770.1, 1884.7]","[2884.26025390625, 1817.2401123046875]",0.040287043767429004,4.0287043767429,0.03901781851026094,-0.010032733138037627
5,1988,"[3007.5, 1834.4]","[3309.481689453125, 2117.1650390625]",0.12083322737926151,12.083322737926151,0.12076803083822982,-0.12076803083822982
5,1989,"[3267.7, 1894.7]","[3032.431640625, 1924.185546875]",0.0649547742377387,6.4954774237738695,0.05128504305168135,0.039861849624205775
5,1990,"[2948.1, 1894.7]","[3536.462158203125, 1856.1854248046875]",0.17218356904778548,17.21835690477855,0.12944510064393278,-0.11353918869410518
5,1991,"[3405.7, 1897.2]","[3120.831787109375, 1894.713623046875]",0.0759734928343932,7.5973492834393195,0.054188196994804705,0.054188196994804705
5,1992,"[3378.7, 1662.5, 2180.9]","[3260.5478515625, 1868.6531982421875, 2508.7509765625]",0.09710613314307272,9.710613314307272,0.0903000959890042,-0.0575804857821392
5,1993,"[3350.0, 1358.5, 2327.2]","[3553.59033203125, 1678.9605712890625, 2123.535888671875]",0.10606431498899818,10.606431498899818,0.10343178569985038,-0.04553730147564389
5,1994,"[3515.7, 1515.0, 2023.7]","[3381.371337890625, 1664.1785888671875, 1904.5872802734375]",0.05731181049663429,5.731181049663428,0.05707359530266569,0.01477982436050548
5,1995,"[3550.0, 2142.1, 2167.5]","[3415.45849609375, 1925.672119140625, 1839.1346435546875]",0.0915987692206822,9.15987692206822,0.08643375505253924,0.08643375505253924
5,1996,"[3327.8, 2063.5, 1934.4]","[3931.749267578125, 2017.514892578125, 2129.101806640625]",0.15042500124360625,15.042500124360625,0.1152976755314338,-0.10274321454562359
5,1997,"[4017.4, 2199.4, 2242.6]","[3423.017822265625, 1877.24560546875, 1989.685302734375]",0.14779385547312987,14.779385547312987,0.13824281503785732,0.13824281503785732
5,1998,"[4384.6, 2633.4, 2608.8]","[3555.220947265625, 2254.752197265625, 2148.25244140625]",0.1837778792866484,18.37778792866484,0.17332596647510085,0.17332596647510085
5,1999,"[3534.2, 2646.0, 2302.8]","[4207.09912109375, 2778.28466796875, 2576.451171875]",0.1507579044711831,15.075790447118308,0.12717611233496404,-0.12717611233496404
5,2000,"[3812.0, 2717.4, 2487.3]","[3625.68115234375, 2671.020263671875, 2496.225830078125]",0.03692270973065418,3.692270973065418,0.02679743299239188,0.024817588907943066
5,2001,"[4299.9, 3150.9, 2493.4]","[4085.135009765625, 3361.9150390625, 2522.311279296875]",0.05268305710004781,5.268305710004781,0.045724272298802264,-0.002530251616520201
5,2002,"[4272.2, 4041.0, 2239.8]","[4151.369140625, 3153.1474609375, 2483.800048828125]",0.1524205971346813,15.242059713468132,0.11870401281774137,0.07246122899738226
5,2003,"[4323.0, 3731.5, 2036.1]","[4290.2529296875, 3775.111083984375, 2483.418212890625]",0.07735070119346876,7.735070119346876,0.05189744585926507,-0.045406836715606615
5,2004,"[4571.0, 3745.7, 2544.1]","[4047.20263671875, 3908.100341796875, 3440.8525390625]",0.1676335034473089,16.763350344730892,0.14574895441778002,-0.049292457054556316
5,2005,"[4413.0, 4207.3, 2635.6]","[4235.03759765625, 3807.12109375, 2534.31591796875]",0.06917254076829975,6.917254076829975,0.060361711691201955,0.060361711691201955
5,2006,"[4460.1, 4210.8, 2530.2]","[4556.98876953125, 3454.31640625, 2525.812744140625]",0.11793421472503678,11.793421472503677,0.07657815921120466,0.05927829231755142
5,2007,"[4785.9, 4478.6, 2623.4]","[4740.09423828125, 4557.7607421875, 2515.552734375]",0.020602644119232523,2.0602644119232525,0.01958409555356702,0.00626622743766772
5,2008,"[4574.8, 4477.1, 2827.1]","[4749.37890625, 4598.43994140625, 2820.04736328125]",0.031016617222806787,3.101661722280679,0.025504797068355862,-0.02431738453889212
5,2009,"[4080.9, 4901.3, 1962.8]","[4688.7626953125, 4467.5078125, 2818.394287109375]",0.17971801762151488,17.971801762151486,0.17334391684987438,-0.09407627180647553
5,2010,"[5765.8, 4600.0, 2711.3]","[4569.056640625, 4736.6064453125, 2449.83935546875]",0.16325225253956938,16.325225253956937,0.12195444320367288,0.10106197540691365
5,2011,"[5806.0, 4556.0, 3506.3]","[4932.57861328125, 4549.861328125, 2759.176513671875]",0.14355046571451088,14.355046571451089,0.11729509348095118,0.11729509348095118
5,2012,"[4946.8, 4709.5, 3219.9]","[5715.25634765625, 4587.5927734375, 2806.584716796875]",0.11851251753004775,11.851251753004775,0.10124717365541658,-0.018113561290646674
5,2013,"[5814.3, 4739.3, 2658.1]","[6036.7802734375, 4494.77099609375, 3136.55859375]",0.07624266277224077,7.624266277224077,0.07156292309799268,-0.03454588457815797
5,2014,"[5329.0, 4782.1, 2661.9]","[6074.5712890625, 4545.87109375, 2638.08203125]",0.10610390824486618,10.610390824486618,0.07872999014033512,-0.03801177593850305
5,2015,"[5632.6, 4817.5, 2810.0]","[5012.97998046875, 4724.15185546875, 3033.52587890625]",0.08690060538860812,8.690060538860813,0.0706249608199599,0.03691090452984897
5,2016,"[6070.6, 4802.3, 2862.3]","[5810.6357421875, 4564.81494140625, 3295.77685546875]",0.07042410218797031,7.0424102187970306,0.06777667393812979,0.004657555837374099
5,2017,"[5996.6, 4316.5, 3304.7]","[5501.98828125, 4632.8125, 3128.041259765625]",0.07798146243903285,7.798146243903285,0.07252147622849324,0.026065734478724553
5,2018,"[6213.7, 4126.0, 3180.6]","[5375.25439453125, 4090.8681640625, 2820.19091796875]",0.11700072764281562,11.700072764281561,0.09126916735852751,0.09126916735852751
5,2019,"[6286.0, 4649.3, 3216.0]","[4270.26953125, 4868.53369140625, 2991.928955078125]",0.24968136948892902,24.9681369488929,0.17376744221931023,0.14278319463693268
5,2020,"[6003.8, 4555.6, 2938.7]","[6097.69287109375, 4540.35693359375, 2664.025390625]",0.03729940079870408,3.7299400798704077,0.028434412759943985,0.014522399796082434
5,2021,"[5982.1, 4824.5, 2759.5]","[5981.609375, 4296.92431640625, 3059.456298828125]",0.0774840729957523,7.74840729957523,0.06103615684845868,0.016814707968069328
5,2022,"[5891.7, 4987.8, 3382.5]","[6060.43017578125, 4678.35302734375, 3194.02734375]",0.04853998077952419,4.853998077952419,0.04674307984066053,0.023081577136797083
29,1992,"[2733.5, 907.3]","[2304.50244140625, 904.1014404296875]",0.16664222932269357,16.664222932269357,0.11870910738410856,0.11870910738410856
29,1993,"[2455.5, 851.3]","[2504.771484375, 872.1666870117188]",0.022883642820369338,2.288364282036934,0.021210285286899357,-0.021210285286899357
29,1994,"[1826.5, 840.9]","[2182.10888671875, 899.1464233398438]",0.19105058567968566,19.105058567968566,0.1551530741765741,-0.1551530741765741
29,1995,"[1717.5, 888.2]","[2186.97802734375, 852.4915161132812]",0.2555397460063166,25.553974600631662,0.19387746526095437,-0.1664694874532875
29,1996,"[2135.3, 856.6]","[2017.7353515625, 1455.1195068359375]",0.288314745735067,28.8314745735067,0.23934093895967032,-0.16075231738976478
29,1997,"[2317.4, 1268.7]","[2134.44970703125, 934.2379760742188]",0.1503414339749029,15.03414339749029,0.14428273525404517,0.14428273525404517
29,1998,"[2357.8, 1144.8]","[2518.710205078125, 1208.3004150390625]",0.06984529516325574,6.9845295163255745,0.06406972538034242,-0.06406972538034242
29,1999,"[2297.7, 1148.6]","[2461.5390625, 1809.024658203125]",0.27922498358727826,27.922498358727825,0.23917352543398002,-0.23917352543398002
