year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[2096.8, 955.8, 3666.8, 1543.6, 1072.0, 790.4, 1208.0, 2306.8, 1481.9]","[2328.7982254238377, 210.15642565436065, 4606.700299732098, 1113.881344592977, 1619.0126284162377, 1513.395409459515, 1103.5142877564192, 1576.655493930906, 1449.0210478329689]",0.5301120166961047,0.34617683001071575,34.617683001071576,0.29657110872590814,-0.026387549533419256
1985,"[2300.9, 912.5, 3759.0, 1162.7, 1245.0, 1335.9, 853.8, 1617.7, 1612.3]","[2630.9502526363876, 45.35658080788426, 4564.682709499639, 1895.925239561278, 1327.6722202144874, 1327.0973482413049, 1516.5218231630731, 1832.9080752326217, 1625.8714597399494]",0.6122812004693898,0.32307367688309907,32.30736768830991,0.2512924398301495,-0.13291974953017102
1986,"[2856.5, 835.5, 3802.8, 1243.0, 1713.8, 1166.7, 1198.9, 1781.9, 1880.6]","[2410.054611428014, 355.85794119198204, 4638.8153447456525, 1778.753272660083, 1616.6868148835645, 1513.8270263553854, 1524.095685267639, 1867.593404025141, 1427.9491929356143]",0.7388907096727819,0.2484885136963972,24.84885136963972,0.2187925855819418,-0.039681140645344004
1987,"[2770.1, 840.8, 4715.8, 1842.5, 1060.8, 1400.5, 1803.3, 1884.7, 1559.3]","[2702.765893193269, 489.4257414858246, 4655.552669381382, 1981.6303413260064, 1684.0527972056432, 1458.117991861201, 1603.701944876584, 1947.2465702316435, 1597.6603669703254]",0.9456749522119186,0.12867238634192793,12.867238634192793,0.08946636715131391,-0.013556159959943576
1988,"[3007.5, 892.5, 4751.0, 2341.0, 1735.2, 1247.0, 1801.9, 1834.4, 1734.3]","[2932.751387070116, 1084.0303973478417, 5002.231039638269, 2173.5733079582974, 1706.6853904489599, 1196.521563731356, 1851.802641254378, 2035.0774605649135, 1716.2643350107096]",0.9828686291813132,0.06577095234338137,6.577095234338137,0.0533758712721746,-0.018306600379680377
1989,"[3267.7, 837.4, 4941.6, 2392.0, 1493.4, 754.0, 1090.6, 1894.7, 1865.5]","[2736.1848537296873, 401.42605244178526, 5135.724666037926, 2302.2477837044544, 1759.756996141848, 1406.7620617207945, 1897.7573880515747, 1967.2889178875726, 1861.4442849457628]",0.8838676264351776,0.20927740763809927,20.927740763809926,0.16476795230151886,-0.05026153265440313
1990,"[2948.1, 1012.9, 5196.7, 1851.0, 1329.0, 1272.1, 1093.4, 1894.7, 1824.9]","[2900.0882440889577, 478.34668025582937, 5011.957362357238, 2045.5698120727332, 1731.7149873749918, 1540.5129653238882, 1896.0688316794888, 1973.245391450122, 1781.4314300648275]",0.9105625534949126,0.18181482582391417,18.181482582391418,0.1388327654392585,-0.0508139753277502
1991,"[3405.7, 805.6, 4816.3, 1613.5, 1869.9, 1700.6, 1491.6, 1897.2, 1841.0]","[2971.9979682844914, 801.7925958446497, 4732.948779422287, 2100.411366315662, 1881.4734402188512, 1625.8331725947105, 2039.9049401421182, 2109.318780580584, 1799.0794573130074]",0.9326165728949349,0.13674119666893106,13.674119666893105,0.09754732446213077,-0.03196068702440984
1992,"[3378.7, 2733.5, 907.3, 1662.5, 599.9, 5254.6, 2170.5, 2303.5, 1767.4, 3092.6, 701.1, 1703.0, 1765.3, 1903.0, 2180.9, 1332.4, 1991.0, 2160.0]","[3068.6586567114673, 1673.864825949066, 1913.4390223195714, 2220.1116043649417, 1070.8494356100657, 4728.289179508843, 2244.808050238384, 2250.001384209225, 1251.3921361772616, 2841.413683485291, 1798.595548342104, 1476.8633127772764, 1911.9147539451615, 1565.9169712164526, 2129.3974940312123, 523.5203303794201, 2042.996709407928, 1694.3366201058127]",0.715838871578434,0.2680617397045832,26.806173970458318,0.21301932953468566,0.03193086114415633
1993,"[3350.0, 2455.5, 851.3, 1358.5, 589.7, 5297.0, 1685.5, 1601.8, 1425.0, 3798.0, 680.8, 1370.0, 1845.4, 1765.5, 2327.2, 917.8, 1946.6, 2225.7]","[3471.780407318327, 1935.183170190468, 1935.7374141924486, 1934.8970476095005, 1339.4192179121874, 5307.1071367768545, 2285.2089674759577, 2153.3216445144953, 1660.1570798182297, 2881.263209425278, 1953.0673969459524, 1418.256657937083, 1952.9787335267574, 1379.7013740701552, 2137.072210087918, 579.8838951037039, 2091.8480081675652, 1864.550238381748]",0.7497879384403915,0.2927829744186353,29.278297441863533,0.23144335696173676,-0.07861458468567312
