asap_unit_id,year,mean_ASAP:FPAR,mean_ASAP:RAIN,mean_ASAP:SM,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:ASIS_NDVI,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:RAIN,std_ASAP:SM,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,px_ASAP:FPAR,px_ASAP:RAIN,px_ASAP:SM,px_ASAP:SM_combined,px_ASAP:TEMP,px_ASAP:rad,px_ASIS:ASIS_NDVI,px_ASIS:BT4,px_masked_ASAP:FPAR,px_masked_ASAP:RAIN,px_masked_ASAP:SM,px_masked_ASAP:SM_combined,px_masked_ASAP:TEMP,px_masked_ASAP:rad,px_masked_ASIS:ASIS_NDVI,px_masked_ASIS:BT4,koppen_class,country,crop,yield
20,1984,45.009491006270814,76.84304395229302,0.29449772139390307,0.29328899574071887,24.083882331848145,162427.00932882668,120.95542028163872,143.96840716067877,12.460075951493089,33.14578862998944,0.03634528589347132,0.03843861068261485,0.7801056346369121,9887.425238304168,36.41156134194541,4.344383990252975,57894912.0,65265480.0,47019288.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,35549638.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2145.4
20,1985,45.009491006270814,61.15932411960689,0.28040833384902386,0.2810439942128907,24.412015084867125,164488.07088247463,126.19200910215122,146.10320017370395,12.460075951493089,31.06264267027627,0.03527168284268932,0.03683290476017859,0.8439509943372732,9502.506442173399,34.84020102888087,4.728129278861981,57894912.0,65265480.0,52594032.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,39991289.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2169.3
20,1986,45.009491006270814,65.93054008422143,0.27790173873597496,0.27930361501720385,24.3026794857449,161587.7611333317,136.09177235104661,148.74347076237686,12.460075951493089,32.351283119603686,0.03746087865349398,0.03951932496008798,0.7613863809576782,8675.588338042986,36.05894814604073,4.538430088470218,57894912.0,65265480.0,42212094.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,32192064.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2178.3
20,1987,45.009491006270814,68.28479914257562,0.2814080656477899,0.28098026141074345,24.634406390013517,167246.59407444563,126.77072807724659,146.6088701968229,12.460075951493089,33.4341342231148,0.03387916857027985,0.035231974469607685,0.8214230694378684,9341.588997225641,35.243716617516206,4.697733729390483,57894912.0,65265480.0,48088299.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,36977727.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2239.9
20,1988,45.009491006270814,71.98664666841258,0.2815987226508912,0.28172523662677024,24.56219948662652,163298.1949687712,128.51837332873217,145.21483922036657,12.460075951493089,41.2679651499098,0.03230303705642201,0.03487940708856531,0.75222708623025,9191.688230874059,37.05226501232874,5.1259040535119835,57894912.0,65265480.0,51771462.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,40149642.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2280.5
20,1989,45.009491006270814,58.34074549483921,0.27313558329586624,0.2755961050125187,24.258111264970566,165235.32810536033,133.9226549375437,149.53451720350228,12.460075951493089,33.72016064006556,0.031639883039559454,0.034632283936676105,0.771326574082485,9732.918848272528,35.03608013640852,5.173525986479477,57894912.0,65265480.0,53508300.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,41506315.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2556.2
20,1990,45.009491006270814,63.56935165862418,0.2823283544017209,0.28393704624544563,24.199972196861548,154891.2471818642,138.93256862127006,146.7772633355652,12.460075951493089,31.282380869858766,0.0339209764564296,0.03593346035942334,0.7147118489123199,9565.89635577278,36.133177922313244,4.131058733966634,57894912.0,65265480.0,53736624.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,41629223.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2566.1
20,1991,45.009491006270814,66.75814319854781,0.2810066267848014,0.2824710055061166,24.270411491394043,156627.84612362456,124.09065274998159,146.73901010649774,12.460075951493089,34.68419929274518,0.032903566276493094,0.034851246037188394,0.8184511531017362,10409.820057346731,33.52841521509853,4.5303021623117425,57894912.0,65265480.0,55643706.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,42298946.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2659.2
20,1992,45.009491006270814,46.65711232214907,0.2650708698288158,0.26615265914990915,24.31402337109601,166746.72970891852,134.71751993691967,146.5960638595187,12.460075951493089,24.235162519411542,0.03086289576172792,0.03188450669685908,0.7910715396583998,8600.235794266626,32.76202895734659,4.257033794347404,57894912.0,65265480.0,59057886.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,43884398.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2689.3
20,1993,45.009491006270814,70.229636272942,0.27657409771173086,0.2766449544208458,24.129711716263383,154561.32844081966,130.86117571643132,144.64236697871723,12.460075951493089,34.257795577525044,0.03215185468438007,0.03226856733719053,0.7594737576116634,9804.395193702127,32.44020047673594,4.268692147542427,57894912.0,65265480.0,61388664.0,62548956.0,65267316.0,65267316.0,63012276.0,63231300.0,47041416.0,47041416.0,44884414.0,45429696.0,47041416.0,47041416.0,46610604.0,46638216.0,11,Bangladesh,Rice,2718.5
