asap_unit_id,year,mean_ASAP:FPAR,mean_ASAP:RAIN,mean_ASAP:SM,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:ASIS_NDVI,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:RAIN,std_ASAP:SM,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,px_ASAP:FPAR,px_ASAP:RAIN,px_ASAP:SM,px_ASAP:SM_combined,px_ASAP:TEMP,px_ASAP:rad,px_ASIS:ASIS_NDVI,px_ASIS:BT4,px_masked_ASAP:FPAR,px_masked_ASAP:RAIN,px_masked_ASAP:SM,px_masked_ASAP:SM_combined,px_masked_ASAP:TEMP,px_masked_ASAP:rad,px_masked_ASIS:ASIS_NDVI,px_masked_ASIS:BT4,koppen_class
1,1984,54.699665719660786,36.50822073218424,0.2521350494827385,0.2543462731000962,12.2202401359876,172363.3379278684,160.1977954436036,125.36626828238506,15.247141153830738,16.9883219849465,0.05380807132390667,0.053108661442025654,1.3843794320050489,17711.02321789969,26.235542715516505,5.364161608482805,511682616.0,676883736.0,301431498.0,721701702.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,20087644.0,24888946.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1985,54.699665719660786,25.197358354517828,0.25247362939019996,0.2554350404160723,12.71545805533727,175655.71034929767,174.28675992770292,128.22022903030845,15.247141153830738,14.30351920393946,0.05330074185822506,0.05250285486113078,1.310130972630839,15937.044492874666,28.014558197069764,5.9915464086172685,511682616.0,676883736.0,341390454.0,730089738.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,20308022.0,24888951.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1986,54.699665719660786,35.53761904659824,0.24004868591825163,0.24586438170776034,12.604815388167346,170465.72207561167,172.63099259166773,127.8503332598374,15.247141153830738,16.831117087284966,0.055252017318878195,0.05084942886459265,1.439426828425957,16093.458492570297,27.44964734906602,6.3882337581600055,511682616.0,676883736.0,280605738.0,730996212.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,15903659.0,24888941.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1987,54.699665719660786,28.511065011148098,0.2501008146825958,0.2502027003359007,13.110066268179152,176367.09888160683,166.50464498194913,127.64642504739567,15.247141153830738,12.709767126389385,0.04869240282298656,0.049268550153396984,1.4200374022523528,14667.472078617217,26.09819097835636,5.79902857349627,511682616.0,676883736.0,298947996.0,725310450.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,19430149.0,24888944.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1988,54.699665719660786,23.815705593502415,0.2540963579501424,0.25384620150521875,12.358136258743427,181850.55293378382,146.22699154229755,127.33625251782296,15.247141153830738,12.031267115919448,0.042927360409261636,0.04428772186044654,1.4256507613665772,17409.407050232076,24.87258896478877,5.606863436564257,511682616.0,676883736.0,282961254.0,710767266.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,21906372.0,24888942.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1989,54.699665719660786,24.040413601466025,0.2451550808769685,0.24706667250921394,12.831330129393825,179928.99169129896,170.9999047100775,133.9759698203111,15.247141153830738,11.900569843488029,0.04269160090536318,0.04432242233658527,1.4339698441672453,17574.995161667437,29.798260616571852,7.194908861612627,511682616.0,676883736.0,296557230.0,711286752.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,22504224.0,24888950.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1990,54.699665719660786,26.573148625543165,0.25210173807486336,0.25369634664176055,12.470883062592259,176677.96361281778,185.41009251962382,130.99093542606272,15.247141153830738,14.524530122734156,0.04192978347770619,0.04330899094374564,1.3843293739391422,16554.67418417734,30.509258843742845,6.837810395657641,511682616.0,676883736.0,294899820.0,711069660.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,22520431.0,24888946.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1991,54.699665719660786,33.79374468910693,0.25446218134904347,0.2561201076250922,12.47314347381945,170773.1228946042,169.0351769320679,130.384998775509,15.247141153830738,16.378124043792006,0.042487695045989364,0.04348079148799672,1.4547651371202146,16229.955342829859,28.54216339685608,6.642681142337143,511682616.0,676883736.0,409159056.0,712503036.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,22942070.0,24888938.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1992,54.699665719660786,38.76196267253143,0.2565410001272404,0.2568816875050015,12.355733736797616,170145.0987500139,164.74159558056766,126.99862678287175,15.247141153830738,18.24545481244561,0.0430050154153322,0.04336020524006439,1.4575602836495538,16756.924370870543,25.579656268065285,6.505231716229638,511682616.0,676883736.0,558386064.0,713750760.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,24460834.0,24888927.0,25290180.0,25290180.0,25193628.0,25193916.0,5
1,1993,54.699665719660786,35.60842868007331,0.25383677119734105,0.2537947748464281,12.636534790198008,175530.7849066828,156.78745849544848,124.98520521605758,15.247141153830738,19.692838412255806,0.04241144466050148,0.04250148973688853,1.459260329873629,17223.33226328617,24.69664322287565,6.289068520635575,511682616.0,676883736.0,617550486.0,715172172.0,678602664.0,678602664.0,716952384.0,718287912.0,25290180.0,25290180.0,24764920.0,24888932.0,25290180.0,25290180.0,25193628.0,25193916.0,5
